Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS01_Login,Chrome 108.0.0.0,,,2023-01-20 17:33:57,2023-01-20 17:35:58,2m - 1.269s,FAILED
,,,,,,,
Test Cases/TC01_Valid_Login,Chrome 108.0.0.0,,,2023-01-20 17:33:58,2023-01-20 17:34:46,48.166s,FAILED
"openBrowser("""")",Chrome 108.0.0.0,,,2023-01-20 17:33:58,2023-01-20 17:34:03,4.446s,PASSED
"navigateToUrl(""http://172.18.49.40:8080/login"")",Chrome 108.0.0.0,,,2023-01-20 17:34:03,2023-01-20 17:34:46,42.875s,FAILED
,,,,,,,
Test Cases/TC02_Invalid_Email,Chrome 108.0.0.0,,,2023-01-20 17:34:46,2023-01-20 17:35:30,43.957s,FAILED
"openBrowser("""")",Chrome 108.0.0.0,,,2023-01-20 17:34:46,2023-01-20 17:34:49,2.685s,PASSED
"navigateToUrl(""http://172.18.49.40:8080/login"")",Chrome 108.0.0.0,,,2023-01-20 17:34:49,2023-01-20 17:34:58,8.793s,PASSED
"setText(findTestObject(""Page_Aprodite/input_Password""), ""test123"")",Chrome 108.0.0.0,,,2023-01-20 17:34:58,2023-01-20 17:35:30,31.773s,FAILED
,,,,,,,
Test Cases/TC03_Invalid_Password,Chrome 108.0.0.0,,,2023-01-20 17:35:30,2023-01-20 17:35:45,15.324s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2023-01-20 17:35:31,2023-01-20 17:35:34,2.956s,PASSED
"navigateToUrl(""http://172.18.49.40:8080/login"")",Chrome 108.0.0.0,,,2023-01-20 17:35:34,2023-01-20 17:35:41,7.008s,PASSED
"setText(findTestObject(""Page_Aprodite/input_Email""), ""testsuperadmin@mailinator.com"")",Chrome 108.0.0.0,,,2023-01-20 17:35:41,2023-01-20 17:35:42,1.702s,PASSED
"click(findTestObject(""Page_Aprodite/Button Login""))",Chrome 108.0.0.0,,,2023-01-20 17:35:42,2023-01-20 17:35:43,0.642s,PASSED
"verifyElementPresent(findTestObject(""Page_Aprodite/Invalid_Password""), 0)",Chrome 108.0.0.0,,,2023-01-20 17:35:43,2023-01-20 17:35:44,0.653s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2023-01-20 17:35:44,2023-01-20 17:35:45,1.366s,PASSED
,,,,,,,
Test Cases/TC04_Logout,Chrome 108.0.0.0,,,2023-01-20 17:35:45,2023-01-20 17:35:58,13.155s,PASSED
"callTestCase(findTestCase(""TC01_Valid_Login""), [:], STOP_ON_FAILURE)",Chrome 108.0.0.0,,,2023-01-20 17:35:46,2023-01-20 17:35:56,9.337s,PASSED
"click(findTestObject(""Page_Aprodite/Photo_profile""))",Chrome 108.0.0.0,,,2023-01-20 17:35:56,2023-01-20 17:35:57,1.826s,PASSED
"click(findTestObject(""Page_Aprodite/Logout_Button""))",Chrome 108.0.0.0,,,2023-01-20 17:35:57,2023-01-20 17:35:58,0.797s,PASSED
